共 921 部电影

('4.7', '致命座椅')
('4.7', '繁殖')
('4.7', '病房')
('4.7', '猛鬼生日宴')
('4.7', '猎猪')
('4.7', '猎杀禁区')
('4.7', '潘妮的恐惧')
('4.7', '死人之夜')
('4.7', '死亡隧道')
('4.7', '死亡复苏：终极游戏')
('4.7', '杰克·布鲁克斯之怪兽杀手')
('4.7', '杀人游戏')
('4.7', '星河战队2: 联邦英雄')
('4.7', '旅人')
('4.7', '新女儿')
('4.7', '我的血腥播客')
('4.7', '幻影杀手1')
('4.7', '幻影')
('4.7', '咒怨：完结篇')
('4.7', '吸血家族汤普森')
('4.7', '变种DNA 3')
('4.7', '传染歌')
('4.6', '血之猎手')
('4.6', '荒野恶林')
('4.6', '芦苇地')
('4.6', '腐尸')
('4.6', '簧片')
('4.6', '沙漠迷城')
('4.6', '死人岛')
('4.6', '天魔异种')
('4.6', '吓死你')
('4.6', '原林探秘')
('4.6', '停尸间')
('4.6', '人体蜈蚣')
('4.6', '亡灵咒怨')
('4.5', '黑暗来临')
('4.5', '魕')
('4.5', '魔鬼天使')
('4.5', '鬼影实录5：鬼次元')
('4.5', '致命电话')
('4.5', '自动取款机')
('4.5', '终极囚禁')
('4.5', '瑜伽学院')
('4.5', '狂蟒之灾3')
('4.5', '灰熊公园')
('4.5', '灯红酒绿杀人夜')
('4.5', '死亡繁殖')
('4.5', '布莱尔女巫')
('4.5', '尸城')
('4.5', '与吸血鬼同床')
('4.5', '下一个就是你')
('4.5', '407航班')
('4.4', '食人猪')
('4.4', '隔离')
('4.4', '邪灵复仇')
('4.4', '边境恶警')
('4.4', '莫丽·哈特莉的驱魔')
('4.4', '第三个妈妈')
('4.4', '短柄斧2')
('4.4', '短柄斧')
('4.4', '水底惊魂')
('4.4', '死亡湖')
('4.4', '死亡占卜')
('4.4', '梵蒂冈录像带')
('4.4', '最后一次驱魔2')
('4.4', '恶狼游戏')
('4.4', '恶灵之泪')
('4.4', '当树枝折断时')
('4.4', '异族终结战')
('4.4', '大白鲨之致命武器')
('4.4', '僵尸猎手')
('4.4', '三十极夜2：黑暗的日子')
('4.3', '食人鱼3DD')
('4.3', '轨迹人')
('4.3', '致命录像带3：病毒')
('4.3', '致命弯道5')
('4.3', '绞刑架')
('4.3', '死亡约定2')
('4.3', '死亡玛丽')
('4.3', '森冤')
('4.3', '新活死人之夜')
('4.3', '嗜血重生')
('4.3', 'Death Row')
('4.2', '魔岛迷踪')
('4.2', '鬼电车')
('4.2', '邪恶女巫')
('4.2', '跳跃剪接')
('4.2', '萨拉和神秘时辰')
('4.2', '短柄斧3')
('4.2', '爱上尸新娘')
('4.2', '死亡水域')
('4.2', '有只僵尸暗恋你')
('4.2', '安息')
('4.2', '安娜华特的离奇命运')
('4.2', '女同志吸血鬼杀手')
('4.2', '嗜血之夜')
('4.1', '鲨鱼惊魂夜')
('4.1', '食人魔')
('4.1', '通灵之六世古宅')
('4.1', '荒村客栈')
('4.1', '杀戮游戏')
('4.1', '僵尸启示录：救赎')
('4', '狂蟒之灾4')
('4', '牛头人')
('4', '死亡经历')
('4', '攻击部队')
('4', '捉鬼小精灵3')
('4', '恶魔的坟墓')
('4', '恐怖爱情故事之死亡公路')
